"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","297","TC_SF_002_validate_nonexisting_product","Master Suite","Wed Sep 03 20:14:51 IST 2025","passed","Wed Sep 03 20:14:51 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_002_validate_nonexisting_product"
"","1","TC_SF_001_validate_existing_product","Master Suite","Wed Sep 03 19:40:50 IST 2025","broken","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_001_validate_existing_product"
"","923","TC_LF_005_verify_empty_login","Master Suite","Wed Sep 03 20:14:22 IST 2025","passed","Wed Sep 03 20:14:23 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_005_verify_empty_login"
"","0","TC_SF_009_validate_search_by_category","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_009_validate_search_by_category"
"","6410","TC_LF_001_verify_login","Master Suite","Wed Sep 03 20:14:13 IST 2025","passed","Wed Sep 03 20:14:19 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_001_verify_login"
"","1368","TC_LF_009_verify_login_logout_and_back","Master Suite","Wed Sep 03 20:14:24 IST 2025","passed","Wed Sep 03 20:14:25 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_009_verify_login_logout_and_back"
"","546","TC_SF_008_validate_search_product_description","Master Suite","Wed Sep 03 20:07:00 IST 2025","passed","Wed Sep 03 20:07:00 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_008_validate_search_product_description"
"","490","TC_SF_007_validate_search_criteria","Master Suite","Wed Sep 03 20:06:59 IST 2025","passed","Wed Sep 03 20:07:00 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_007_validate_search_criteria"
"","3695","TC_LF_009_verify_login_logout_and_back","Master Suite","Wed Sep 03 20:06:29 IST 2025","broken","Wed Sep 03 20:06:33 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_009_verify_login_logout_and_back"
"","6328","TC_LF_001_verify_login","Master Suite","Wed Sep 03 20:06:19 IST 2025","passed","Wed Sep 03 20:06:25 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_001_verify_login"
"","0","TC_LF_005_verify_empty_login","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_005_verify_empty_login"
"","1","TC_LF_002_verify_invalid_login","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_002_verify_invalid_login"
